Num_Features,Ciclo,Base_Treino,Accuracy,Statistical Parity (Abs),Average Abs Odds,Equal Opportunity (Abs),Disparate Impact
3,1,gs_v0_25,0.810742388493037,0.0939035564151256,0.1260473453400113,0.014501898109523514,0.12394345179940913
3,2,gs_v0_5,0.8274751767253709,0.07017936704371774,0.16268723287716672,0.02585858516303896,0.0893548057457022
3,3,gs_v0_75,0.8352086155342981,0.15113859078278902,0.02201097522059553,0.03320895177327399,0.17675507328974704
3,4,gs_v0,0.7947920522321139,0.15391025076146847,0.05848635316460893,0.08239965039173547,0.1714634656431716
3,5,gs_v1,0.7771143777265532,0.07305163127857761,0.0296934183135959,0.010790755222322979,0.08300555050795255
3,6,pd_v0_25,0.8310902849670354,0.3393232609793989,0.20162148458568657,0.21118209082402317,0.37643847818241205
3,7,pd_v0_5,0.7030575995940117,0.6036712802656412,0.6773447324695292,0.4944764623891569,0.6116070023125454
3,8,pd_v0_75,0.7880399676203403,0.40759689788931813,0.29298755131559173,0.3176837698841847,0.45840516361696737
3,9,pd_v0,0.8157642795842471,0.18516897103080143,0.15949519382320781,0.006405817785761436,0.23086252993962575
3,10,pd_v1,0.5149522913365029,0.9405868563576105,0.9591561938958708,0.9183123877917415,0.9405868563576105
4,1,gs_v0_25,0.803370544710389,0.07973641084587135,0.12883783973330154,0.031962835700427905,0.10778848716772571
4,2,gs_v0_5,0.8298451354553998,0.0725207873342596,0.15451331705380122,0.030978365518854245,0.09284043876569448
4,3,gs_v0_75,0.836709959614683,0.14582822345587498,0.012902336200669412,0.020322144076611925,0.17280546753735926
4,4,gs_v0,0.7838632990029039,0.14795655781139738,0.07512746639308371,0.0776789570046551,0.16563584104128648
4,5,gs_v1,0.7806791033182598,0.08299721942652527,0.03475772083754536,0.0185494044525355,0.09422875274633769
4,6,pd_v0_25,0.8202123436417558,0.3695233436777171,0.24034775376465362,0.244880275225559,0.4067121360055511
4,7,pd_v0_5,0.6910722215173813,0.629189607516264,0.700421044443593,0.5238899446024963,0.639043745350108
4,8,pd_v0_75,0.7671894291858478,0.4521825210898453,0.3385810206545655,0.3686305292848524,0.5071212621420041
4,9,pd_v0,0.810847716220082,0.187889899825755,0.16182806772459643,0.010342353534714244,0.23595424666495657
4,10,pd_v1,0.5149522913365029,0.9405868563576105,0.9591561938958708,0.9183123877917415,0.9405868563576105
5,1,gs_v0_25,0.8403001952521256,0.13090530498734854,0.09936214190649592,0.014213050986277898,0.16098022676539514
5,2,gs_v0_5,0.8433947615739795,0.061564177360129646,0.1639984125764227,0.04702423956013668,0.07759606051855461
5,3,gs_v0_75,0.8598382071099965,0.1519623609499371,0.01960882193600877,0.005538986316646399,0.17741673513615386
5,4,gs_v0,0.8176531418257581,0.12928695487903008,0.04348139036920473,0.05732070076564966,0.14143455029121532
5,5,gs_v1,0.8097931283511149,0.11089937900323366,0.015455343107429909,0.02527797272693244,0.12209372549126085
5,6,pd_v0_25,0.8410691907123008,0.3176113652853907,0.21652199979657144,0.17932651883774153,0.34787273900819526
5,7,pd_v0_5,0.7426216379091601,0.5667481050203135,0.6581375678049038,0.43017105679930434,0.5705567041920012
5,8,pd_v0_75,0.7893686784029306,0.34317306021977356,0.38058057670350653,0.23433482679219986,0.35559314096934636
5,9,pd_v0,0.8235262706207686,0.15204087790099863,0.1206546708808246,0.012591269546808892,0.18566777935580348
5,10,pd_v1,0.5149522913365029,0.9405868563576105,0.9591561938958708,0.9183123877917415,0.9405868563576105
6,1,gs_v0_25,0.8531617931892616,0.15091583633412875,0.09492836560342499,0.023300786399882645,0.18405207179036465
6,2,gs_v0_5,0.8641359865974748,0.07127258068507392,0.1518633668331686,0.05409179772517758,0.08842946039655675
